Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
LINEAR25,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR26,100.0,99.26,99.63,0.73,100.0,98.33,1.0,0.0,1.0,1.0
LINEAR27,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR28,93.7,100.0,96.85,1.76,98.33,95.0,1.0,0.0,1.0,1.0
LINEAR29,60.37,100.0,80.19,8.27,90.0,70.0,1.0,0.0,1.0,1.0
LINEAR30,30.0,100.0,65.0,1.44,66.67,63.33,0.95,0.02,0.96,0.92
LINEAR31,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR32,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR33,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR34,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR35,93.7,100.0,96.85,1.76,98.33,95.0,1.0,0.0,1.0,1.0
LINEAR36,60.37,100.0,80.19,8.27,90.0,70.0,1.0,0.0,1.0,1.0
LINEAR37,30.0,100.0,65.0,1.44,66.67,63.33,1.0,0.0,1.0,1.0
LINEAR38,62.96,93.33,78.15,1.55,80.0,76.67,0.94,0.01,0.95,0.92
LINEAR39,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR40,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR41,100.0,98.52,99.26,0.88,100.0,98.33,1.0,0.0,1.0,0.99
LINEAR42,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR43,93.7,100.0,96.85,1.76,98.33,95.0,1.0,0.0,1.0,1.0
LINEAR44,60.37,100.0,80.19,8.27,90.0,70.0,1.0,0.0,1.0,1.0
LINEAR45,30.0,100.0,65.0,1.44,66.67,63.33,1.0,0.0,1.0,1.0
LINEAR46,62.96,100.0,81.48,1.55,83.33,80.0,1.0,0.0,1.0,1.0
LINEAR47,80.74,88.52,84.63,3.2,88.33,80.0,0.92,0.02,0.94,0.89
LINEAR48,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR49,100.0,95.93,97.96,0.73,98.33,96.67,0.97,0.0,0.97,0.97
LINEAR50,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR51,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR52,93.7,100.0,96.85,1.76,98.33,95.0,1.0,0.0,1.0,1.0
LINEAR53,60.37,100.0,80.19,8.27,90.0,70.0,1.0,0.0,1.0,1.0
LINEAR54,30.0,100.0,65.0,1.44,66.67,63.33,1.0,0.0,1.0,1.0
LINEAR55,62.96,98.52,80.74,2.06,83.33,78.33,0.99,0.01,1.0,0.97
LINEAR56,80.74,96.67,88.7,2.61,91.67,85.0,0.97,0.0,0.97,0.97
LINEAR57,72.59,96.67,84.63,2.17,86.67,81.67,0.96,0.01,0.96,0.95
LINEAR58,92.22,20.74,56.48,1.3,58.33,55.0,0.81,0.02,0.84,0.78
LINEAR59,100.0,3.33,51.67,0.0,51.67,51.67,0.95,0.01,0.96,0.94
LINEAR60,100.0,1.48,50.74,0.88,51.67,50.0,0.96,0.0,0.97,0.96
LINEAR61,92.22,1.48,46.85,0.56,48.33,46.67,0.81,0.01,0.82,0.79
LINEAR62,93.7,11.11,52.41,2.9,56.67,50.0,0.77,0.01,0.79,0.77
LINEAR63,60.37,78.52,69.44,4.49,75.0,63.33,0.76,0.01,0.77,0.75
LINEAR64,30.0,96.67,63.33,1.44,65.0,61.67,0.79,0.01,0.8,0.78
LINEAR65,62.96,93.33,78.15,1.55,80.0,76.67,0.92,0.01,0.93,0.91
LINEAR66,80.74,91.11,85.93,3.13,90.0,81.67,0.95,0.01,0.96,0.94
LINEAR67,72.59,78.52,75.56,3.23,78.33,70.0,0.85,0.03,0.88,0.81
LINEAR68,100.0,0.0,50.0,0.0,50.0,50.0,0.53,0.0,0.54,0.52
LINEAR69,92.22,3.33,47.78,0.83,48.33,46.67,0.52,0.01,0.53,0.52
LINEAR70,93.7,10.0,51.85,1.55,53.33,50.0,0.58,0.01,0.58,0.57
LINEAR71,60.37,48.15,54.26,3.45,58.33,50.0,0.54,0.0,0.55,0.54
LINEAR72,30.0,80.0,55.0,1.44,56.67,53.33,0.54,0.0,0.55,0.54
LINEAR73,62.96,53.7,58.33,0.0,58.33,58.33,0.57,0.01,0.59,0.56
LINEAR74,80.74,27.41,54.07,2.22,56.67,51.67,0.56,0.0,0.57,0.56
LINEAR75,72.59,22.59,47.59,2.06,50.0,45.0,0.5,0.01,0.51,0.49
LINEAR76,100.0,0.74,50.37,0.73,51.67,50.0,0.73,0.03,0.77,0.7
LINEAR77,92.22,1.11,46.67,0.0,46.67,46.67,0.56,0.01,0.57,0.55
LINEAR78,93.7,1.85,47.78,0.83,48.33,46.67,0.57,0.0,0.57,0.56
LINEAR79,60.37,47.41,53.89,3.0,58.33,48.33,0.52,0.01,0.53,0.51
LINEAR80,30.0,83.7,56.85,1.55,58.33,55.0,0.52,0.01,0.53,0.5
LINEAR81,62.96,57.04,60.0,1.44,61.67,58.33,0.59,0.01,0.61,0.59
LINEAR82,80.74,24.81,52.78,1.18,55.0,51.67,0.52,0.02,0.54,0.5
LINEAR83,72.59,28.15,50.37,2.17,53.33,46.67,0.48,0.0,0.49,0.47
LINEAR84,93.7,3.33,48.52,1.76,50.0,46.67,0.51,0.01,0.52,0.5
LINEAR85,60.37,51.48,55.93,4.26,61.67,50.0,0.56,0.01,0.57,0.56
LINEAR86,30.0,80.37,55.19,1.3,56.67,53.33,0.54,0.01,0.55,0.54
LINEAR87,62.96,58.15,60.56,2.64,63.33,56.67,0.57,0.0,0.58,0.57
LINEAR88,80.74,24.44,52.59,2.37,55.0,48.33,0.52,0.01,0.53,0.51
LINEAR89,72.59,27.04,49.81,1.0,51.67,48.33,0.5,0.0,0.51,0.5
LINEAR90,60.37,72.59,66.48,1.76,68.33,63.33,0.71,0.01,0.72,0.7
LINEAR91,30.0,85.93,57.96,1.11,60.0,56.67,0.58,0.01,0.59,0.56
LINEAR92,62.96,53.7,58.33,1.86,61.67,56.67,0.62,0.01,0.63,0.61
LINEAR93,80.74,39.26,60.0,3.33,65.0,55.0,0.6,0.01,0.61,0.59
